seed,train_k,layer_id,mutual_information,normalized_mutual_information,expert_purity,mean_pairwise_task_js
0,1,0,0.0200544576727752,0.007758707368224853,0.18492683531746032,0.011788266771573389
0,1,1,0.03424729866480776,0.013277312138030108,0.20045882936507936,0.020009765005554278
0,1,2,0.03447317880271322,0.013343159509394261,0.19903273809523808,0.020239233067596986
0,1,3,0.032501029118663746,0.012561148047424054,0.19924975198412698,0.018917386598603925
0,1,4,0.03325694365196945,0.012861286903428408,0.19810267857142858,0.01936945607365368
0,1,5,0.03849058822910351,0.01488826868784048,0.20262896825396826,0.022524235725036607
0,1,6,0.04456503855929382,0.017228912224536045,0.21165054563492064,0.026035081713323513
0,1,7,0.051597657024315915,0.02002086739939542,0.2158048115079365,0.02980837628530918
0,2,0,0.018528745337690285,0.007185043758634714,0.1850043402777778,0.010783729000050158
0,2,1,0.030213173777391383,0.011725881707485987,0.19670758928571427,0.017511073131554117
0,2,2,0.05443746836942653,0.02110263564690085,0.22254774305555555,0.031074696824756075
0,2,3,0.12133354765987976,0.047142301866464134,0.2697172619047619,0.06904152956733058
0,2,4,0.17574838482678773,0.06851242810252173,0.30009920634920634,0.0955658919283429
0,2,5,0.16511352912663074,0.06400186188994343,0.28824094742063494,0.09373010344051189
0,2,6,0.13638170548488643,0.05313960673359763,0.2729104662698413,0.07642258848998769
0,2,7,0.08503004763410835,0.033261131339973805,0.23955233134920634,0.04880617530389392
0,3,0,0.011616827276754232,0.004492529360098311,0.17427248677248677,0.006793937294069678
0,3,1,0.02184503919321542,0.008439817343449882,0.1877170138888889,0.012628837973675165
0,3,2,0.05431791037939047,0.02099944975981105,0.220744460978836,0.031415096705318564
0,3,3,0.1320549590272337,0.051057232219010075,0.2721767526455027,0.07507402874264782
0,3,4,0.1605163317320448,0.062026068212985,0.28699570105820105,0.08976884618264755
0,3,5,0.1688125277231639,0.06529055559635526,0.29802207341269843,0.0919540927187515
0,3,6,0.11413657210397178,0.04427983447084578,0.25991030092592593,0.06518822151716275
0,3,7,0.07137269791340826,0.027755203792204336,0.22669684193121692,0.04008572727458567
0,4,0,0.007840902232461682,0.003024732126827064,0.16780598958333334,0.004584102064028685
0,4,1,0.020156787669331745,0.007776016820178904,0.1873449900793651,0.011686137004705624
0,4,2,0.04642826858662512,0.017931762975690248,0.2105034722222222,0.02690600254192049
0,4,3,0.08855263732356969,0.03423562510185404,0.24233475942460317,0.050817081186628504
0,4,4,0.11870598853298098,0.04592448356795489,0.26378813244047616,0.0669078936232082
0,4,5,0.10226896304001318,0.0395894096755898,0.2534024677579365,0.057403085064376726
0,4,6,0.08866876641811652,0.034258959242763135,0.24298580109126985,0.05112412714672419
0,4,7,0.055993714183225976,0.021783137005967495,0.22021484375,0.03229228407468302
0,5,0,0.006559464817489092,0.0025302590831478553,0.16631324404761905,0.003829721692370866
0,5,1,0.01694850264119041,0.006537178655840825,0.18311011904761904,0.009868236056333317
0,5,2,0.039955466002457425,0.015423326212909353,0.20230654761904762,0.023490899142661992
0,5,3,0.09368843723270892,0.036141023623004864,0.2421937003968254,0.05442051800140878
0,5,4,0.13481245846591222,0.05203606611945286,0.278156001984127,0.07651142369206798
0,5,5,0.1084617215040215,0.04188034718355279,0.2530195932539683,0.06199912861863091
0,5,6,0.10002768739244516,0.03865083128747709,0.25771329365079365,0.056611324971957255
0,5,7,0.06867000348048788,0.02658059110160242,0.22893725198412698,0.038722586586157536
0,6,0,0.005609736934368463,0.002162856065172655,0.16515273644179895,0.0032748998357792214
0,6,1,0.012121772692487645,0.004671993235406654,0.17820457175925927,0.00703580588360541
0,6,2,0.0359272157731694,0.013851917951062678,0.20289248511904762,0.020941962282208876
0,6,3,0.07759004533310462,0.029955394213963024,0.23509321263227514,0.044702027038135195
0,6,4,0.10512390250941103,0.04060761075665046,0.24973648313492064,0.06043820499624003
0,6,5,0.10248994034831829,0.03962723648504554,0.2523148148148148,0.05809731608071266
0,6,6,0.08035558284796368,0.03103038023501951,0.2384517609126984,0.04655398673087848
0,6,7,0.05334884089068721,0.020694749416565458,0.21840381117724866,0.030516284232553037
