seed,pair,source_train_k,target_train_k,layer_id,rank_in_target_logits,count,share,step_source,step_target
0,1-2,1,2,0,1,9094,0.28193204365079366,6000,3000
0,1-2,1,2,0,2,5007,0.15522693452380953,6000,3000
0,1-2,1,2,0,3,3689,0.11436631944444445,6000,3000
0,1-2,1,2,0,4,2701,0.08373635912698413,6000,3000
0,1-2,1,2,0,5,2078,0.06442212301587301,6000,3000
0,1-2,1,2,0,6,1878,0.05822172619047619,6000,3000
0,1-2,1,2,0,7,1362,0.042224702380952384,6000,3000
0,1-2,1,2,0,8,1132,0.03509424603174603,6000,3000
0,1-2,1,2,0,9,914,0.028335813492063492,6000,3000
0,1-2,1,2,0,10,731,0.022662450396825396,6000,3000
0,1-2,1,2,0,11,621,0.019252232142857144,6000,3000
0,1-2,1,2,0,12,664,0.02058531746031746,6000,3000
0,1-2,1,2,0,13,430,0.013330853174603174,6000,3000
0,1-2,1,2,0,14,340,0.010540674603174604,6000,3000
0,1-2,1,2,0,15,319,0.009889632936507936,6000,3000
0,1-2,1,2,0,16,213,0.006603422619047619,6000,3000
0,1-2,1,2,0,17,246,0.007626488095238095,6000,3000
0,1-2,1,2,0,18,107,0.0033172123015873015,6000,3000
0,1-2,1,2,0,19,220,0.006820436507936508,6000,3000
0,1-2,1,2,0,20,177,0.00548735119047619,6000,3000
0,1-2,1,2,0,21,152,0.004712301587301587,6000,3000
0,1-2,1,2,0,22,76,0.0023561507936507935,6000,3000
0,1-2,1,2,0,23,28,0.0008680555555555555,6000,3000
0,1-2,1,2,0,24,39,0.001209077380952381,6000,3000
0,1-2,1,2,0,25,5,0.00015500992063492063,6000,3000
0,1-2,1,2,0,26,21,0.0006510416666666666,6000,3000
0,1-2,1,2,0,27,2,6.200396825396825e-05,6000,3000
0,1-2,1,2,0,28,7,0.00021701388888888888,6000,3000
0,1-2,1,2,0,29,3,9.300595238095238e-05,6000,3000
0,1-2,1,2,0,30,0,0.0,6000,3000
0,1-2,1,2,0,31,0,0.0,6000,3000
0,1-2,1,2,0,32,0,0.0,6000,3000
0,1-2,1,2,1,1,6307,0.1955295138888889,6000,3000
0,1-2,1,2,1,2,4322,0.1339905753968254,6000,3000
0,1-2,1,2,1,3,3234,0.10026041666666667,6000,3000
0,1-2,1,2,1,4,2421,0.07505580357142858,6000,3000
0,1-2,1,2,1,5,2412,0.07477678571428571,6000,3000
0,1-2,1,2,1,6,1661,0.05149429563492063,6000,3000
0,1-2,1,2,1,7,1494,0.04631696428571429,6000,3000
0,1-2,1,2,1,8,1585,0.04913814484126984,6000,3000
0,1-2,1,2,1,9,1202,0.03726438492063492,6000,3000
0,1-2,1,2,1,10,974,0.03019593253968254,6000,3000
0,1-2,1,2,1,11,976,0.030257936507936508,6000,3000
0,1-2,1,2,1,12,730,0.022631448412698412,6000,3000
0,1-2,1,2,1,13,694,0.021515376984126984,6000,3000
0,1-2,1,2,1,14,600,0.018601190476190476,6000,3000
0,1-2,1,2,1,15,560,0.017361111111111112,6000,3000
0,1-2,1,2,1,16,532,0.016493055555555556,6000,3000
0,1-2,1,2,1,17,415,0.012865823412698412,6000,3000
0,1-2,1,2,1,18,389,0.012059771825396826,6000,3000
0,1-2,1,2,1,19,250,0.007750496031746032,6000,3000
0,1-2,1,2,1,20,188,0.005828373015873016,6000,3000
0,1-2,1,2,1,21,245,0.007595486111111111,6000,3000
0,1-2,1,2,1,22,264,0.00818452380952381,6000,3000
0,1-2,1,2,1,23,161,0.004991319444444444,6000,3000
0,1-2,1,2,1,24,203,0.006293402777777778,6000,3000
0,1-2,1,2,1,25,85,0.002635168650793651,6000,3000
0,1-2,1,2,1,26,58,0.0017981150793650793,6000,3000
0,1-2,1,2,1,27,62,0.0019221230158730158,6000,3000
0,1-2,1,2,1,28,96,0.002976190476190476,6000,3000
0,1-2,1,2,1,29,58,0.0017981150793650793,6000,3000
0,1-2,1,2,1,30,36,0.0011160714285714285,6000,3000
0,1-2,1,2,1,31,29,0.0008990575396825396,6000,3000
0,1-2,1,2,1,32,13,0.00040302579365079363,6000,3000
0,1-2,1,2,2,1,5253,0.16285342261904762,6000,3000
0,1-2,1,2,2,2,3327,0.10314360119047619,6000,3000
0,1-2,1,2,2,3,2609,0.08088417658730158,6000,3000
0,1-2,1,2,2,4,2047,0.06346106150793651,6000,3000
0,1-2,1,2,2,5,1929,0.059802827380952384,6000,3000
0,1-2,1,2,2,6,1629,0.050502232142857144,6000,3000
0,1-2,1,2,2,7,1406,0.04358878968253968,6000,3000
0,1-2,1,2,2,8,1532,0.04749503968253968,6000,3000
0,1-2,1,2,2,9,1252,0.03881448412698413,6000,3000
0,1-2,1,2,2,10,1152,0.03571428571428571,6000,3000
0,1-2,1,2,2,11,915,0.028366815476190476,6000,3000
0,1-2,1,2,2,12,983,0.030474950396825396,6000,3000
0,1-2,1,2,2,13,809,0.02508060515873016,6000,3000
0,1-2,1,2,2,14,760,0.023561507936507936,6000,3000
0,1-2,1,2,2,15,772,0.023933531746031748,6000,3000
0,1-2,1,2,2,16,758,0.023499503968253968,6000,3000
0,1-2,1,2,2,17,697,0.021608382936507936,6000,3000
0,1-2,1,2,2,18,564,0.017485119047619048,6000,3000
0,1-2,1,2,2,19,478,0.014818948412698412,6000,3000
0,1-2,1,2,2,20,435,0.013485863095238096,6000,3000
0,1-2,1,2,2,21,463,0.01435391865079365,6000,3000
0,1-2,1,2,2,22,377,0.011687748015873016,6000,3000
0,1-2,1,2,2,23,423,0.013113839285714286,6000,3000
0,1-2,1,2,2,24,413,0.012803819444444444,6000,3000
0,1-2,1,2,2,25,189,0.005859375,6000,3000
0,1-2,1,2,2,26,214,0.006634424603174603,6000,3000
0,1-2,1,2,2,27,248,0.007688492063492063,6000,3000
0,1-2,1,2,2,28,160,0.00496031746031746,6000,3000
0,1-2,1,2,2,29,167,0.005177331349206349,6000,3000
0,1-2,1,2,2,30,125,0.003875248015873016,6000,3000
0,1-2,1,2,2,31,70,0.002170138888888889,6000,3000
0,1-2,1,2,2,32,100,0.0031001984126984125,6000,3000
0,1-2,1,2,3,1,4591,0.14233010912698413,6000,3000
0,1-2,1,2,3,2,2946,0.09133184523809523,6000,3000
0,1-2,1,2,3,3,2333,0.07232762896825397,6000,3000
0,1-2,1,2,3,4,2151,0.06668526785714286,6000,3000
0,1-2,1,2,3,5,1957,0.060670882936507936,6000,3000
0,1-2,1,2,3,6,1604,0.049727182539682536,6000,3000
0,1-2,1,2,3,7,1401,0.04343377976190476,6000,3000
0,1-2,1,2,3,8,1494,0.04631696428571429,6000,3000
0,1-2,1,2,3,9,1232,0.03819444444444445,6000,3000
0,1-2,1,2,3,10,1162,0.03602430555555555,6000,3000
0,1-2,1,2,3,11,1133,0.035125248015873016,6000,3000
0,1-2,1,2,3,12,1050,0.032552083333333336,6000,3000
0,1-2,1,2,3,13,816,0.025297619047619048,6000,3000
0,1-2,1,2,3,14,848,0.02628968253968254,6000,3000
0,1-2,1,2,3,15,701,0.021732390873015872,6000,3000
0,1-2,1,2,3,16,702,0.021763392857142856,6000,3000
0,1-2,1,2,3,17,805,0.024956597222222224,6000,3000
0,1-2,1,2,3,18,695,0.021546378968253968,6000,3000
0,1-2,1,2,3,19,543,0.01683407738095238,6000,3000
0,1-2,1,2,3,20,423,0.013113839285714286,6000,3000
0,1-2,1,2,3,21,450,0.013950892857142858,6000,3000
0,1-2,1,2,3,22,449,0.013919890873015874,6000,3000
0,1-2,1,2,3,23,368,0.011408730158730158,6000,3000
0,1-2,1,2,3,24,389,0.012059771825396826,6000,3000
0,1-2,1,2,3,25,336,0.010416666666666666,6000,3000
0,1-2,1,2,3,26,356,0.01103670634920635,6000,3000
0,1-2,1,2,3,27,321,0.009951636904761904,6000,3000
0,1-2,1,2,3,28,332,0.01029265873015873,6000,3000
0,1-2,1,2,3,29,215,0.006665426587301587,6000,3000
0,1-2,1,2,3,30,200,0.006200396825396825,6000,3000
