seed,pair,layer_id,top_m,overlap_fraction
0,1-2,0,1,0.4273933531746032
0,1-2,0,2,0.5131293402777778
0,1-2,0,3,0.5551318617724867
0,1-2,0,4,0.5952845982142857
0,1-2,0,5,0.6228422619047619
0,1-2,0,6,0.6525504298941799
0,1-2,0,7,0.6791427508503401
0,1-2,0,8,0.700896732390873
0,1-2,0,9,0.7184675374779541
0,1-2,0,10,0.7329954117063492
0,1-2,0,11,0.7503522952741702
0,1-2,0,12,0.7672293526785714
0,1-2,0,13,0.782299297924298
0,1-2,0,14,0.7980331455498866
0,1-2,0,15,0.811348792989418
0,1-2,0,16,0.8243195064484127
0,1-2,0,17,0.8355472397292251
0,1-2,0,18,0.8478698192239859
0,1-2,0,19,0.8604486476608187
0,1-2,0,20,0.8716114831349207
0,1-2,0,21,0.88257777069161
0,1-2,0,22,0.8936392383658008
0,1-2,0,23,0.9042631771911663
0,1-2,0,24,0.914223968667328
0,1-2,0,25,0.9242547123015873
0,1-2,0,26,0.9331322973901099
0,1-2,0,27,0.94280019106408
0,1-2,0,28,0.9525880013463719
0,1-2,0,29,0.9625324986316366
0,1-2,0,30,0.9732556216931217
0,1-2,0,31,0.9850140408986175
0,1-2,0,32,1.0
0,1-2,1,1,0.29637896825396826
0,1-2,1,2,0.3822699652777778
0,1-2,1,3,0.4525049603174603
0,1-2,1,4,0.4964967757936508
0,1-2,1,5,0.5346602182539683
0,1-2,1,6,0.568245701058201
0,1-2,1,7,0.5969387755102041
0,1-2,1,8,0.6193692646329365
0,1-2,1,9,0.6398017250881834
0,1-2,1,10,0.6638826884920634
0,1-2,1,11,0.6844138933982684
0,1-2,1,12,0.7020941840277778
0,1-2,1,13,0.7200711614774115
0,1-2,1,14,0.73605575042517
0,1-2,1,15,0.7520378637566137
0,1-2,1,16,0.7670646546378969
0,1-2,1,17,0.7828037464985994
0,1-2,1,18,0.7969249476410935
0,1-2,1,19,0.8111962849832915
0,1-2,1,20,0.8244621155753968
0,1-2,1,21,0.8386066232048375
0,1-2,1,22,0.8519937094155844
0,1-2,1,23,0.8639808165113871
0,1-2,1,24,0.8777075066137566
0,1-2,1,25,0.8916840277777778
0,1-2,1,26,0.9057193891178266
0,1-2,1,27,0.9193994341563786
0,1-2,1,28,0.9329305289824263
0,1-2,1,29,0.9471202363847838
0,1-2,1,30,0.9617952215608465
0,1-2,1,31,0.9791856678827445
0,1-2,1,32,1.0
0,1-2,2,1,0.2378472222222222
0,1-2,2,2,0.3154451884920635
0,1-2,2,3,0.3754753637566138
0,1-2,2,4,0.41644190228174605
0,1-2,2,5,0.45654761904761904
0,1-2,2,6,0.48893745866402116
0,1-2,2,7,0.5194913903061225
0,1-2,2,8,0.5471075148809523
0,1-2,2,9,0.5713596781305115
0,1-2,2,10,0.5932167658730159
0,1-2,2,11,0.6143099522005772
0,1-2,2,12,0.6353443287037037
0,1-2,2,13,0.6560878357753358
0,1-2,2,14,0.67648543792517
0,1-2,2,15,0.6947544642857143
0,1-2,2,16,0.7134060329861112
0,1-2,2,17,0.7318838993930906
0,1-2,2,18,0.749886326058201
0,1-2,2,19,0.767875091374269
0,1-2,2,20,0.785684833829365
0,1-2,2,21,0.8019903273809523
0,1-2,2,22,0.8183523290945166
0,1-2,2,23,0.8348591701173222
0,1-2,2,24,0.8521567046957672
0,1-2,2,25,0.8691517857142858
0,1-2,2,26,0.8858697725885226
0,1-2,2,27,0.9031762106848913
0,1-2,2,28,0.9206504216269841
0,1-2,2,29,0.9383295703338806
0,1-2,2,30,0.9567243303571429
0,1-2,2,31,0.9763374855990783
0,1-2,2,32,1.0
0,1-2,3,1,0.19924975198412698
0,1-2,3,2,0.269562251984127
0,1-2,3,3,0.31379174933862436
0,1-2,3,4,0.35645306299603174
0,1-2,3,5,0.39308035714285716
0,1-2,3,6,0.42259837962962965
0,1-2,3,7,0.4530497094671202
0,1-2,3,8,0.4825652591765873
0,1-2,3,9,0.5100239748677249
0,1-2,3,10,0.537335689484127
0,1-2,3,11,0.5623308982683982
0,1-2,3,12,0.5868701430224867
0,1-2,3,13,0.6086834172771672
0,1-2,3,14,0.6300444657029478
0,1-2,3,15,0.651264880952381
0,1-2,3,16,0.6733921595982143
0,1-2,3,17,0.6945611577964519
0,1-2,3,18,0.7146112351190477
0,1-2,3,19,0.7352740575396826
0,1-2,3,20,0.7549897693452381
0,1-2,3,21,0.7742686484315948
0,1-2,3,22,0.7934436440295816
0,1-2,3,23,0.8132966162008282
0,1-2,3,24,0.8325737847222222
0,1-2,3,25,0.8521006944444445
0,1-2,3,26,0.8707968463827839
0,1-2,3,27,0.8902770888447972
0,1-2,3,28,0.9099137701955783
0,1-2,3,29,0.9300295908593322
0,1-2,3,30,0.9515593998015873
0,1-2,3,31,0.974058339733743
0,1-2,3,32,1.0
0,1-2,4,1,0.16418650793650794
0,1-2,4,2,0.2308562748015873
0,1-2,4,3,0.27862516534391535
0,1-2,4,4,0.3231104290674603
0,1-2,4,5,0.3643663194444444
0,1-2,4,6,0.4013103505291005
0,1-2,4,7,0.4314457553854875
0,1-2,4,8,0.45979042658730157
0,1-2,4,9,0.4873718584656085
0,1-2,4,10,0.5154482886904762
0,1-2,4,11,0.5405844155844156
0,1-2,4,12,0.5647786458333334
0,1-2,4,13,0.5894788804945055
0,1-2,4,14,0.6120256696428571
0,1-2,4,15,0.6346560846560847
0,1-2,4,16,0.656281001984127
0,1-2,4,17,0.6769483835200747
0,1-2,4,18,0.6986624366181657
0,1-2,4,19,0.7194043050334169
0,1-2,4,20,0.740177021329365
0,1-2,4,21,0.7608654572940288
0,1-2,4,22,0.781276774440837
0,1-2,4,23,0.8016493055555556
0,1-2,4,24,0.8211430948247355
0,1-2,4,25,0.8420014880952381
0,1-2,4,26,0.862551510989011
0,1-2,4,27,0.8836346266901822
0,1-2,4,28,0.9052479715844671
0,1-2,4,29,0.9271431992337165
0,1-2,4,30,0.9494884672619047
0,1-2,4,31,0.9736723150281618
0,1-2,4,32,1.0
0,1-2,5,1,0.16883680555555555
0,1-2,5,2,0.22735305059523808
0,1-2,5,3,0.2788731812169312
0,1-2,5,4,0.3162202380952381
0,1-2,5,5,0.3562313988095238
0,1-2,5,6,0.3886563740079365
0,1-2,5,7,0.4187880881519274
0,1-2,5,8,0.4486452132936508
0,1-2,5,9,0.4747299382716049
0,1-2,5,10,0.5012152777777777
0,1-2,5,11,0.5275579455266955
0,1-2,5,12,0.5526232845568783
0,1-2,5,13,0.5770470848595849
0,1-2,5,14,0.6003489937641724
0,1-2,5,15,0.6235015707671958
0,1-2,5,16,0.64599609375
0,1-2,5,17,0.6676842612044818
0,1-2,5,18,0.6892550567680776
0,1-2,5,19,0.7115183792815372
0,1-2,5,20,0.7336139012896825
0,1-2,5,21,0.7546281533446711
0,1-2,5,22,0.775682325487013
0,1-2,5,23,0.7972807216183575
0,1-2,5,24,0.8178865947420635
0,1-2,5,25,0.8391431051587301
0,1-2,5,26,0.8600296188186813
0,1-2,5,27,0.881470228909465
0,1-2,5,28,0.9036879074546486
0,1-2,5,29,0.9254038810207992
0,1-2,5,30,0.948622478505291
0,1-2,5,31,0.9729652697772657
0,1-2,5,32,1.0
0,1-2,6,1,0.1398499503968254
0,1-2,6,2,0.220703125
0,1-2,6,3,0.2704923115079365
0,1-2,6,4,0.3103996155753968
0,1-2,6,5,0.35066964285714286
0,1-2,6,6,0.38634672619047616
0,1-2,6,7,0.4188766652494331
0,1-2,6,8,0.4493543836805556
0,1-2,6,9,0.4790288800705467
0,1-2,6,10,0.5058717757936508
0,1-2,6,11,0.5319574089105339
0,1-2,6,12,0.5566277075066137
0,1-2,6,13,0.5807697077228328
0,1-2,6,14,0.6039740114795918
0,1-2,6,15,0.6280567956349207
0,1-2,6,16,0.6498248387896826
0,1-2,6,17,0.6724002100840336
0,1-2,6,18,0.6946390680114638
0,1-2,6,19,0.7152108787593985
0,1-2,6,20,0.7368102058531746
0,1-2,6,21,0.7571275037792895
0,1-2,6,22,0.7781399373196248
0,1-2,6,23,0.7991165782436163
0,1-2,6,24,0.8198384279927249
0,1-2,6,25,0.8410404265873016
0,1-2,6,26,0.8619708199786325
0,1-2,6,27,0.8831156305114638
0,1-2,6,28,0.9041562588577098
0,1-2,6,29,0.9263146979337712
0,1-2,6,30,0.9492280505952381
0,1-2,6,31,0.9725822452636969
0,1-2,6,32,1.0
0,1-2,7,1,0.20851934523809523
0,1-2,7,2,0.270476810515873
0,1-2,7,3,0.3169332837301587
0,1-2,7,4,0.35242280505952384
0,1-2,7,5,0.3911706349206349
0,1-2,7,6,0.4236214451058201
0,1-2,7,7,0.45313385770975056
0,1-2,7,8,0.48266989087301587
0,1-2,7,9,0.5090491347001763
0,1-2,7,10,0.534867931547619
0,1-2,7,11,0.5603242243867244
0,1-2,7,12,0.5862940228174603
0,1-2,7,13,0.611657222985348
0,1-2,7,14,0.6353148030045351
0,1-2,7,15,0.6583602017195768
0,1-2,7,16,0.6799122643849206
0,1-2,7,17,0.700796203898226
0,1-2,7,18,0.7217210234788359
0,1-2,7,19,0.7412378602756893
0,1-2,7,20,0.7609979538690477
0,1-2,7,21,0.7807436342592593
0,1-2,7,22,0.7997652304292929
0,1-2,7,23,0.818953804347826
0,1-2,7,24,0.8383220692791006
0,1-2,7,25,0.858030753968254
0,1-2,7,26,0.8769447783119658
0,1-2,7,27,0.8958654835390947
0,1-2,7,28,0.9152250744047619
0,1-2,7,29,0.9347664802271484
0,1-2,7,30,0.954893146494709
0,1-2,7,31,0.9754804307475679
0,1-2,7,32,1.0
0,1-2,-1,1,0.23028273809523808
0,1-2,-1,2,0.3037245008680556
0,1-2,-1,3,0.35522848462301587
0,1-2,-1,4,0.3958536783854167
0,1-2,-1,5,0.43369605654761906
0,1-2,-1,6,0.46653335813492064
0,1-2,-1,7,0.4963583740787982
0,1-2,-1,8,0.5237998356894841
0,1-2,-1,9,0.5487290908840388
0,1-2,-1,10,0.5731042286706349
0,1-2,-1,11,0.5964788791937229
0,1-2,-1,12,0.6189827086433531
0,1-2,-1,13,0.6407618260645604
0,1-2,-1,14,0.6615352846867913
0,1-2,-1,15,0.6817475818452381
0,1-2,-1,16,0.7012745690724206
