seed,pair,layer_id,rbo_p90,rbo_p95,kendall_tau,mean_absolute_rank_displacement,normalized_footrule_similarity,top1_overlap,top4_overlap,top8_overlap,selected_containment_a,selected_containment_b,selected_jaccard,hypergeometric_calibrated_overlap,empirical_observed_overlap,empirical_null_overlap,empirical_ceiling_overlap,empirical_alignment_headroom,frequency_adjusted_overlap,empirical_ceiling_utilization,empirical_num_samples,selected_union_kendall_tau,common_selected_kendall_tau,common_pairwise_order_agreement,common_selected_exact_order_fraction,full_containment_record_fraction,ordered_containment_record_fraction,contained_exact_order_fraction,common_selected_record_mean_tau,common_selected_valid_record_fraction,common_pair_coverage,num_records
0,1-2,0,0.6832528013536051,0.785133190718007,0.6588331653225806,3.9892423115079363,0.750672355530754,0.4273933531746032,0.5952845982142857,0.700896732390873,0.6193266369047619,0.30966331845238093,0.30966331845238093,0.5939484126984127,0.619326636904762,0.3935959135427221,0.619326636904762,0.22573072336203986,0.37224472658289537,1.0,336.0,0.004381613756613771,nan,nan,nan,0.6193266369047619,nan,nan,nan,0.0,nan,32256
0,1-2,1,0.6017570268690627,0.7275323657722934,0.5396905714465726,5.281379820808532,0.6699137611994668,0.29637896825396826,0.4964967757936508,0.6193692646329365,0.45219494047619047,0.22609747023809523,0.22609747023809523,0.41567460317460314,0.45219494047619047,0.26051890725261734,0.4525359623015873,0.19201705504897,0.25920342670485613,0.9982240024183795,336.0,-0.1965112433862434,nan,nan,nan,0.45219494047619047,nan,nan,nan,0.0,nan,32256
0,1-2,2,0.5396655259471905,0.6815598836649471,0.43460378339213707,6.373137943328373,0.6016788785419767,0.2378472222222222,0.41644190228174605,0.5471075148809523,0.37258184523809523,0.18629092261904762,0.18629092261904762,0.33075396825396836,0.3725818452380952,0.21127654297534618,0.37388392857142855,0.16260738559608237,0.204514397062882,0.9919924711380099,336.0,-0.2841228505291005,nan,nan,nan,0.37258184523809523,nan,nan,nan,0.0,nan,32256
0,1-2,3,0.4914837550497597,0.6457580803419916,0.35120219569052413,7.223617311507937,0.548523918030754,0.19924975198412698,0.35645306299603174,0.4825652591765873,0.32468377976190477,0.16234188988095238,0.16234188988095238,0.2796626984126983,0.3246837797619048,0.19548400033772376,0.3277219742063492,0.13223797386862543,0.16059317587023403,0.9770247958618701,336.0,-0.3448454034391533,nan,nan,nan,0.32468377976190477,nan,nan,nan,0.0,nan,32256
0,1-2,4,0.4670500555205643,0.6284679516759388,0.3164416897681452,7.6060074094742065,0.5246245369078621,0.16418650793650794,0.3231104290674603,0.45979042658730157,0.2622457837301587,0.13112289186507936,0.13112289186507936,0.21306216931216942,0.2622457837301587,0.15972815877237417,0.2654699900793651,0.10574183130699094,0.12200530819646138,0.9695086957606603,336.0,-0.39947089947089953,nan,nan,nan,0.2622457837301587,nan,nan,nan,0.0,nan,32256
0,1-2,5,0.4603601416023668,0.6226536993598454,0.3009230090725806,7.787498837425595,0.5132813226609003,0.16883680555555555,0.3162202380952381,0.4486452132936508,0.2679191468253968,0.1339595734126984,0.1339595734126984,0.21911375661375654,0.2679191468253968,0.15225074404761904,0.2729104662698413,0.12065972222222224,0.13644176266227828,0.9586330935251796,336.0,-0.38171709656084657,nan,nan,nan,0.2679191468253968,nan,nan,nan,0.0,nan,32256
0,1-2,6,0.45673881987311443,0.6214932963746469,0.3079558341733871,7.726293170262897,0.5171066768585689,0.1398499503968254,0.3103996155753968,0.4493543836805556,0.2456597222222222,0.1228298611111111,0.1228298611111111,0.19537037037037047,0.24565972222222224,0.13738298400033772,0.25127108134920634,0.11388809734886862,0.12552121765927107,0.9507291871792795,336.0,-0.44068287037037035,nan,nan,nan,0.2456597222222222,nan,nan,nan,0.0,nan,32256
0,1-2,7,0.4935514538687302,0.6478980723683684,0.36614990234375,7.08843509734623,0.5569728064158606,0.20851934523809523,0.35242280505952384,0.48266989087301587,0.316375248015873,0.1581876240079365,0.1581876240079365,0.27080026455026457,0.3163752480158731,0.15453301777271192,0.3201884920634921,0.16565547429078017,0.19142347796575795,0.9769808751328948,336.0,-0.31574487433862425,nan,nan,nan,0.316375248015873,nan,nan,nan,0.0,nan,32256
0,1-2,-1,0.5242324475105492,0.6700620675345048,0.4094750189012097,6.634451487707714,0.5853467820182678,0.23028273809523808,0.3958536783854167,0.5237998356894841,0.3576233878968254,0.1788116939484127,0.1788116939484127,0.3147982804232804,0.35762338789682535,0.20809628358768154,0.35762338789682535,0.14952710430914382,0.1888198037339301,1.0,336.0,-0.294839203042328,nan,nan,nan,0.3576233878968254,nan,nan,nan,0.0,nan,258048
0,1-3,0,0.6839995575400702,0.7853469131127435,0.65533447265625,4.018194289434524,0.7488628569103423,0.43464781746031744,0.5928276909722222,0.7029506138392857,0.7281436011904762,0.24271453373015872,0.24271453373015872,0.70002052545156,0.728143601190476,0.4895213293650794,0.728174603174603,0.23865327380952361,0.4674480748208426,0.9998700961288647,336.0,0.16242972883597884,nan,nan,nan,0.7281436011904762,nan,nan,nan,0.0,nan,32256
0,1-3,1,0.6041810217022044,0.7284848598697036,0.5374007686491935,5.302410791790675,0.6685993255130829,0.2990141369047619,0.5001627604166666,0.6170944940476191,0.5926649305555556,0.19755497685185186,0.19755497685185183,0.5505268199233717,0.5926649305555556,0.3531178761398176,0.5926959325396826,0.23957805639986496,0.37031020889288613,0.9998705975639304,336.0,0.0012400793650793709,nan,nan,nan,0.5926649305555556,nan,nan,nan,0.0,nan,32256
0,1-3,2,0.5391134717124326,0.6817619253417168,0.4388604933215726,6.345557803199405,0.6034026373000372,0.21732390873015872,0.4178679935515873,0.5490025111607143,0.46955605158730157,0.15651868386243387,0.15651868386243384,0.4146825396825397,0.4695560515873015,0.28316024991556904,0.47048611111111116,0.18732586119554212,0.26002436618474123,0.9950350714104617,336.0,-0.13228546626984128,nan,nan,nan,0.46955605158730157,nan,nan,nan,0.0,nan,32256
0,1-3,3,0.48971523571943076,0.6449496617554281,0.3511569115423387,7.2194320436507935,0.5487854972718254,0.19205729166666666,0.35044642857142855,0.4843091207837302,0.38916790674603174,0.12972263558201058,0.12972263558201058,0.32597837985769035,0.38916790674603174,0.24887799202127658,0.39146205357142855,0.14258406155015196,0.18677380403521485,0.9839102154865333,336.0,-0.17175099206349206,nan,nan,nan,0.38916790674603174,nan,nan,nan,0.0,nan,32256
