seed,train_k,inference_k,checkpoint_step,task_id,task_name,num_tokens,validation_loss
0,1,1,0,0,general_ko,4608,5.679443187183804
0,1,1,0,1,general_en,4608,5.720122456550598
0,1,1,0,2,math_ko,4608,5.69287923971812
0,1,1,0,3,math_en,4608,5.737981292936537
0,1,1,0,4,code,4608,5.725954400168525
0,1,1,0,5,reasoning,4608,5.705779247813755
0,1,1,0,6,translation,4608,5.7009036673439875
0,1,2,0,0,general_ko,4608,5.672622111108568
0,1,2,0,1,general_en,4608,5.713210463523865
0,1,2,0,2,math_ko,4608,5.69502321879069
0,1,2,0,3,math_en,4608,5.731670260429382
0,1,2,0,4,code,4608,5.727201143900554
0,1,2,0,5,reasoning,4608,5.709014998541938
0,1,2,0,6,translation,4608,5.6867772870593605
0,1,3,0,0,general_ko,4608,5.671132352617052
0,1,3,0,1,general_en,4608,5.719486647182041
0,1,3,0,2,math_ko,4608,5.69482061598036
0,1,3,0,3,math_en,4608,5.729529036415948
0,1,3,0,4,code,4608,5.7220958603752985
0,1,3,0,5,reasoning,4608,5.708650999599033
0,1,3,0,6,translation,4608,5.6803327269024315
0,1,4,0,0,general_ko,4608,5.671623521380955
0,1,4,0,1,general_en,4608,5.719564596811931
0,1,4,0,2,math_ko,4608,5.69804232650333
0,1,4,0,3,math_en,4608,5.731296843952602
0,1,4,0,4,code,4608,5.720533755090502
0,1,4,0,5,reasoning,4608,5.707507570584615
0,1,4,0,6,translation,4608,5.678405231899685
0,1,5,0,0,general_ko,4608,5.670493112670051
0,1,5,0,1,general_en,4608,5.719591935475667
0,1,5,0,2,math_ko,4608,5.701600591341655
0,1,5,0,3,math_en,4608,5.730306320720249
0,1,5,0,4,code,4608,5.723747160699633
0,1,5,0,5,reasoning,4608,5.710303889380561
0,1,5,0,6,translation,4608,5.68030940161811
0,1,6,0,0,general_ko,4608,5.671461184819539
0,1,6,0,1,general_en,4608,5.721741345193651
0,1,6,0,2,math_ko,4608,5.7008680899937945
0,1,6,0,3,math_en,4608,5.728590581152174
0,1,6,0,4,code,4608,5.72293417983585
0,1,6,0,5,reasoning,4608,5.710867895020379
0,1,6,0,6,translation,4608,5.683302468723721
0,1,7,0,0,general_ko,4608,5.673107862472534
0,1,7,0,1,general_en,4608,5.7223519749111595
0,1,7,0,2,math_ko,4608,5.701830996407403
0,1,7,0,3,math_en,4608,5.728105849689907
0,1,7,0,4,code,4608,5.721768922275967
0,1,7,0,5,reasoning,4608,5.709584010971917
0,1,7,0,6,translation,4608,5.684349338213603
0,1,8,0,0,general_ko,4608,5.673274172676934
0,1,8,0,1,general_en,4608,5.721874250306024
0,1,8,0,2,math_ko,4608,5.701538377337986
0,1,8,0,3,math_en,4608,5.727320432662964
0,1,8,0,4,code,4608,5.7210818661583795
0,1,8,0,5,reasoning,4608,5.710145658916897
0,1,8,0,6,translation,4608,5.684339072969225
0,1,1,1500,0,general_ko,4608,0.45415521413087845
0,1,1,1500,1,general_en,4608,0.45168699738052154
0,1,1,1500,2,math_ko,4608,0.34390924084517693
0,1,1,1500,3,math_en,4608,0.5341588304274612
0,1,1,1500,4,code,4608,0.46375927536023986
0,1,1,1500,5,reasoning,4608,0.39475199580192566
0,1,1,1500,6,translation,4608,0.46473106659120983
0,1,2,1500,0,general_ko,4608,0.43009159879551995
0,1,2,1500,1,general_en,4608,0.4845716862214936
0,1,2,1500,2,math_ko,4608,0.3557985665069686
0,1,2,1500,3,math_en,4608,0.5034790717893176
0,1,2,1500,4,code,4608,0.4230155005223221
0,1,2,1500,5,reasoning,4608,0.3772495918803745
0,1,2,1500,6,translation,4608,0.46262860463725197
0,1,3,1500,0,general_ko,4608,0.494252541826831
0,1,3,1500,1,general_en,4608,0.49842432389656705
0,1,3,1500,2,math_ko,4608,0.38356830262475544
0,1,3,1500,3,math_en,4608,0.5554074305627081
0,1,3,1500,4,code,4608,0.5084926875101196
0,1,3,1500,5,reasoning,4608,0.4442121266490883
0,1,3,1500,6,translation,4608,0.5248750886983342
0,1,4,1500,0,general_ko,4608,0.5558198624187045
0,1,4,1500,1,general_en,4608,0.572217135793633
0,1,4,1500,2,math_ko,4608,0.40331298030085033
0,1,4,1500,3,math_en,4608,0.5815155936612023
0,1,4,1500,4,code,4608,0.6018743324610922
0,1,4,1500,5,reasoning,4608,0.47865600801176494
0,1,4,1500,6,translation,4608,0.5878774755530887
0,1,5,1500,0,general_ko,4608,0.6228826683428552
0,1,5,1500,1,general_en,4608,0.5907323062419891
0,1,5,1500,2,math_ko,4608,0.4535946357581351
0,1,5,1500,3,math_en,4608,0.6257059557570351
0,1,5,1500,4,code,4608,0.6622452164689699
0,1,5,1500,5,reasoning,4608,0.5623323486910926
0,1,5,1500,6,translation,4608,0.6340144326289495
0,1,6,1500,0,general_ko,4608,0.699966027504868
0,1,6,1500,1,general_en,4608,0.614755877190166
0,1,6,1500,2,math_ko,4608,0.5011011502808995
0,1,6,1500,3,math_en,4608,0.6662171222269535
0,1,6,1500,4,code,4608,0.7666016138262219
0,1,6,1500,5,reasoning,4608,0.605540081858635
0,1,6,1500,6,translation,4608,0.6959240014354388
0,1,7,1500,0,general_ko,4608,0.7449912139111095
0,1,7,1500,1,general_en,4608,0.6564580756756995
0,1,7,1500,2,math_ko,4608,0.548676090935866
0,1,7,1500,3,math_en,4608,0.7073213896817632
0,1,7,1500,4,code,4608,0.852187535001172
0,1,7,1500,5,reasoning,4608,0.6588395362099012
0,1,7,1500,6,translation,4608,0.7380908462736342
0,1,8,1500,0,general_ko,4608,0.789257262316015
0,1,8,1500,1,general_en,4608,0.6934894166058965
0,1,8,1500,2,math_ko,4608,0.6013717254002889
0,1,8,1500,3,math_en,4608,0.7546843323442671
0,1,8,1500,4,code,4608,0.9214543352524439
0,1,8,1500,5,reasoning,4608,0.7207400641507573
0,1,8,1500,6,translation,4608,0.7878492607010735
0,2,1,0,0,general_ko,4608,5.679443187183804
0,2,1,0,1,general_en,4608,5.720122456550598
0,2,1,0,2,math_ko,4608,5.69287923971812
0,2,1,0,3,math_en,4608,5.737981292936537
0,2,1,0,4,code,4608,5.725954400168525
0,2,1,0,5,reasoning,4608,5.705779247813755
0,2,1,0,6,translation,4608,5.7009036673439875
0,2,2,0,0,general_ko,4608,5.672622111108568
0,2,2,0,1,general_en,4608,5.713210463523865
0,2,2,0,2,math_ko,4608,5.69502321879069
0,2,2,0,3,math_en,4608,5.731670260429382
0,2,2,0,4,code,4608,5.727201143900554
0,2,2,0,5,reasoning,4608,5.709014998541938
0,2,2,0,6,translation,4608,5.6867772870593605
0,2,3,0,0,general_ko,4608,5.671132352617052
0,2,3,0,1,general_en,4608,5.719486647182041
0,2,3,0,2,math_ko,4608,5.69482061598036
0,2,3,0,3,math_en,4608,5.729529036415948
0,2,3,0,4,code,4608,5.7220958603752985
0,2,3,0,5,reasoning,4608,5.708650999599033
0,2,3,0,6,translation,4608,5.6803327269024315
0,2,4,0,0,general_ko,4608,5.671623521380955
0,2,4,0,1,general_en,4608,5.719564596811931
0,2,4,0,2,math_ko,4608,5.69804232650333
0,2,4,0,3,math_en,4608,5.731296843952602
0,2,4,0,4,code,4608,5.720533755090502
0,2,4,0,5,reasoning,4608,5.707507570584615
0,2,4,0,6,translation,4608,5.678405231899685
0,2,5,0,0,general_ko,4608,5.670493112670051
0,2,5,0,1,general_en,4608,5.719591935475667
0,2,5,0,2,math_ko,4608,5.701600591341655
0,2,5,0,3,math_en,4608,5.730306320720249
0,2,5,0,4,code,4608,5.723747160699633
0,2,5,0,5,reasoning,4608,5.710303889380561
0,2,5,0,6,translation,4608,5.68030940161811
0,2,6,0,0,general_ko,4608,5.671461184819539
0,2,6,0,1,general_en,4608,5.721741345193651
0,2,6,0,2,math_ko,4608,5.7008680899937945
0,2,6,0,3,math_en,4608,5.728590581152174
0,2,6,0,4,code,4608,5.72293417983585
0,2,6,0,5,reasoning,4608,5.710867895020379
0,2,6,0,6,translation,4608,5.683302468723721
0,2,7,0,0,general_ko,4608,5.673107862472534
0,2,7,0,1,general_en,4608,5.7223519749111595
0,2,7,0,2,math_ko,4608,5.701830996407403
0,2,7,0,3,math_en,4608,5.728105849689907
0,2,7,0,4,code,4608,5.721768922275967
0,2,7,0,5,reasoning,4608,5.709584010971917
0,2,7,0,6,translation,4608,5.684349338213603
0,2,8,0,0,general_ko,4608,5.673274172676934
0,2,8,0,1,general_en,4608,5.721874250306024
0,2,8,0,2,math_ko,4608,5.701538377337986
0,2,8,0,3,math_en,4608,5.727320432662964
0,2,8,0,4,code,4608,5.7210818661583795
0,2,8,0,5,reasoning,4608,5.710145658916897
0,2,8,0,6,translation,4608,5.684339072969225
0,2,1,1500,0,general_ko,4608,0.6035564550095134
0,2,1,1500,1,general_en,4608,0.7299597635865211
0,2,1,1500,2,math_ko,4608,0.5910890325903893
0,2,1,1500,3,math_en,4608,0.7039632573723793
0,2,1,1500,4,code,4608,0.7661776310867734
0,2,1,1500,5,reasoning,4608,0.5591706269317203
0,2,1,1500,6,translation,4608,0.5394701299568018
0,2,2,1500,0,general_ko,4608,0.3708620241118802
0,2,2,1500,1,general_en,4608,0.4520426069696744
0,2,2,1500,2,math_ko,4608,0.3496998937593566
0,2,2,1500,3,math_en,4608,0.45472460571262574
0,2,2,1500,4,code,4608,0.45186399751239353
0,2,2,1500,5,reasoning,4608,0.35023432307773167
0,2,2,1500,6,translation,4608,0.36905957303113407
0,2,3,1500,0,general_ko,4608,0.36208407456676167
0,2,3,1500,1,general_en,4608,0.43135404710968334
0,2,3,1500,2,math_ko,4608,0.363207568311029
0,2,3,1500,3,math_en,4608,0.4511031086246173
0,2,3,1500,4,code,4608,0.4606454202698337
0,2,3,1500,5,reasoning,4608,0.3458449687394831
0,2,3,1500,6,translation,4608,0.37060216441750526
0,2,4,1500,0,general_ko,4608,0.37707829889323974
0,2,4,1500,1,general_en,4608,0.42939457959598964
0,2,4,1500,2,math_ko,4608,0.3764326874580648
0,2,4,1500,3,math_en,4608,0.48201973653501934
0,2,4,1500,4,code,4608,0.43447548399368924
0,2,4,1500,5,reasoning,4608,0.3732006355292267
0,2,4,1500,6,translation,4608,0.3962838620775276
0,2,5,1500,0,general_ko,4608,0.4126553034616841
0,2,5,1500,1,general_en,4608,0.45675209619932705
0,2,5,1500,2,math_ko,4608,0.4111384190618992
0,2,5,1500,3,math_en,4608,0.5219689367545975
0,2,5,1500,4,code,4608,0.45519595924350953
0,2,5,1500,5,reasoning,4608,0.4171600503226121
0,2,5,1500,6,translation,4608,0.45055150447620285
0,2,6,1500,0,general_ko,4608,0.4602491238878833
0,2,6,1500,1,general_en,4608,0.4992871880531311
0,2,6,1500,2,math_ko,4608,0.43941054079267716
0,2,6,1500,3,math_en,4608,0.5650661496652497
0,2,6,1500,4,code,4608,0.49781250291400486
0,2,6,1500,5,reasoning,4608,0.46702515830596286
0,2,6,1500,6,translation,4608,0.5141784639822112
0,2,7,1500,0,general_ko,4608,0.5113580839501487
0,2,7,1500,1,general_en,4608,0.5429378416803148
0,2,7,1500,2,math_ko,4608,0.483049713075161
0,2,7,1500,3,math_en,4608,0.6318276408645842
0,2,7,1500,4,code,4608,0.5482965567045741
0,2,7,1500,5,reasoning,4608,0.5163078879316648
0,2,7,1500,6,translation,4608,0.5852042676673995
