seed,train_k,layer_id,task_id,task_name,num_records,normalized_gate_entropy,top1_top2_logit_margin,selected_probability_mass,normalized_selected_weight_entropy
0,1,0,0,general_ko,4608,0.9660399556159973,0.1993141770362854,0.07818501442670822,0.0
0,1,0,1,general_en,4608,0.9659467339515686,0.21697251498699188,0.07965444028377533,0.0
0,1,0,2,math_ko,4608,0.9659410119056702,0.20944611728191376,0.07890717685222626,0.0
0,1,0,3,math_en,4608,0.9659945368766785,0.19610463082790375,0.07797954231500626,0.0
0,1,0,4,code,4608,0.9660122990608215,0.19963227212429047,0.07821869105100632,0.0
0,1,0,5,reasoning,4608,0.9660513401031494,0.20384809374809265,0.07830490916967392,0.0
0,1,0,6,translation,4608,0.9663857221603394,0.18568499386310577,0.07741394639015198,0.0
0,1,1,0,general_ko,4608,0.9689957499504089,0.20929378271102905,0.07636474072933197,0.0
0,1,1,1,general_en,4608,0.9686396718025208,0.2061494141817093,0.07630783319473267,0.0
0,1,1,2,math_ko,4608,0.9692445397377014,0.19178761541843414,0.07516710460186005,0.0
0,1,1,3,math_en,4608,0.969096302986145,0.1914369761943817,0.07542011141777039,0.0
0,1,1,4,code,4608,0.9691799879074097,0.1953701376914978,0.07572638988494873,0.0
0,1,1,5,reasoning,4608,0.9683750867843628,0.18851709365844727,0.07622936367988586,0.0
0,1,1,6,translation,4608,0.9685631990432739,0.19964657723903656,0.07607271522283554,0.0
0,1,2,0,general_ko,4608,0.9693964719772339,0.1977350413799286,0.07520731538534164,0.0
0,1,2,1,general_en,4608,0.969415009021759,0.18674860894680023,0.07461439818143845,0.0
0,1,2,2,math_ko,4608,0.970173716545105,0.19236724078655243,0.07469650357961655,0.0
0,1,2,3,math_en,4608,0.9700623750686646,0.1829724907875061,0.07369791716337204,0.0
0,1,2,4,code,4608,0.9692923426628113,0.1872308999300003,0.07493545860052109,0.0
0,1,2,5,reasoning,4608,0.9698113203048706,0.19747567176818848,0.07502476871013641,0.0
0,1,2,6,translation,4608,0.9691720604896545,0.19693391025066376,0.07527075707912445,0.0
0,1,3,0,general_ko,4608,0.9706674218177795,0.18094147741794586,0.0737622082233429,0.0
0,1,3,1,general_en,4608,0.971685528755188,0.18350669741630554,0.07264716923236847,0.0
0,1,3,2,math_ko,4608,0.9693262577056885,0.20157034695148468,0.07562928646802902,0.0
0,1,3,3,math_en,4608,0.9713650941848755,0.17668792605400085,0.07239571958780289,0.0
0,1,3,4,code,4608,0.9711695909500122,0.18319378793239594,0.072948157787323,0.0
0,1,3,5,reasoning,4608,0.9709315896034241,0.1910475641489029,0.07383280247449875,0.0
0,1,3,6,translation,4608,0.9717242121696472,0.1796996295452118,0.07263785600662231,0.0
0,1,4,0,general_ko,4608,0.9734821319580078,0.17490209639072418,0.07051535695791245,0.0
0,1,4,1,general_en,4608,0.9742740988731384,0.16644342243671417,0.06972881406545639,0.0
0,1,4,2,math_ko,4608,0.973357617855072,0.1698487102985382,0.06998251378536224,0.0
0,1,4,3,math_en,4608,0.9739601612091064,0.17538993060588837,0.07054071873426437,0.0
0,1,4,4,code,4608,0.9729980826377869,0.1790323555469513,0.07158693671226501,0.0
0,1,4,5,reasoning,4608,0.9736853837966919,0.18261153995990753,0.07084863632917404,0.0
0,1,4,6,translation,4608,0.9747280478477478,0.18884366750717163,0.07030471414327621,0.0
