seed,pair,layer_id,rbo_p90,rbo_p95,kendall_tau,mean_absolute_rank_displacement,normalized_footrule_similarity,top1_overlap,top4_overlap,top8_overlap,selected_containment_a,selected_containment_b,selected_jaccard,hypergeometric_calibrated_overlap,empirical_observed_overlap,empirical_null_overlap,empirical_ceiling_overlap,empirical_alignment_headroom,frequency_adjusted_overlap,empirical_ceiling_utilization,empirical_num_samples,selected_union_kendall_tau,common_selected_kendall_tau,common_pairwise_order_agreement,common_selected_exact_order_fraction,full_containment_record_fraction,ordered_containment_record_fraction,contained_exact_order_fraction,common_selected_record_mean_tau,common_selected_valid_record_fraction,common_pair_coverage,num_records
0,1-2,0,0.5834959438538335,0.7142605279415883,0.5118900422127016,5.5521356491815474,0.6529915219261533,0.28193204365079366,0.46904451884920634,0.5977260044642857,0.43722098214285715,0.21861049107142858,0.21861049107142858,0.39970238095238103,0.43722098214285715,0.3216000717662951,0.43936011904761907,0.11776004728132394,0.17043178450445132,0.9818347822190355,336.0,-0.2175925925925926,nan,nan,nan,0.43722098214285715,nan,nan,nan,0.0,nan,32256
0,1-2,1,0.5132868453050105,0.6631867818918096,0.4033774099042339,6.751387338789683,0.5780382913256448,0.1951574900793651,0.3828280009920635,0.5187135726686508,0.3291170634920635,0.16455853174603174,0.16455853174603174,0.28439153439153436,0.3291170634920635,0.2127171458122256,0.3326822916666667,0.1199651458544411,0.1478501875922671,0.9702811333307673,336.0,-0.3561507936507936,nan,nan,nan,0.3291170634920635,nan,nan,nan,0.0,nan,32256
0,1-2,2,0.465609032889156,0.6271518474176118,0.31364194808467744,7.644287109375,0.5222320556640625,0.16279141865079366,0.3264973958333333,0.4535706535218254,0.2660280257936508,0.1330140128968254,0.1330140128968254,0.21709656084656076,0.2660280257936508,0.16512910017730498,0.26987227182539686,0.10474317164809188,0.12085572228924754,0.9632983613990451,336.0,-0.40955687830687837,nan,nan,nan,0.2660280257936508,nan,nan,nan,0.0,nan,32256
0,1-2,3,0.4365929497459685,0.6055767919527892,0.2575033864667339,8.160018678695437,0.4899988325815352,0.14239211309523808,0.2848849826388889,0.41982886904761907,0.23375496031746032,0.11687748015873016,0.11687748015873016,0.1826719576719576,0.2337549603174603,0.1642076156703816,0.24066840277777782,0.0764607871073962,0.0832112686727362,0.9095818559831595,336.0,-0.4283440806878306,nan,nan,nan,0.23375496031746032,nan,nan,nan,0.0,nan,32256
0,1-2,4,0.4117575136949994,0.5877316092451954,0.22118156186995966,8.57257564484127,0.4642140221974206,0.10289558531746032,0.25657242063492064,0.39733305431547616,0.18052455357142858,0.09026227678571429,0.09026227678571429,0.12589285714285717,0.18052455357142855,0.13226633738601823,0.18874007936507936,0.05647374197906113,0.05561408789885609,0.8545248551672581,336.0,-0.4915881283068782,nan,nan,nan,0.18052455357142858,nan,nan,nan,0.0,nan,32256
0,1-2,5,0.409550676832147,0.5854848461438483,0.21244959677419353,8.65693591889881,0.45894150506882436,0.11117311507936507,0.2547355530753968,0.3893461681547619,0.1915612599206349,0.09578062996031746,0.09578062996031746,0.13766534391534388,0.19156125992063494,0.12349277587808175,0.19769965277777782,0.07420687689969607,0.07765878268800802,0.9172799999999998,336.0,-0.48261822089947093,nan,nan,nan,0.1915612599206349,nan,nan,nan,0.0,nan,32256
0,1-2,6,0.4008928369647481,0.5784995560939273,0.19542669480846775,8.85355243985615,0.4466529725089906,0.10639880952380952,0.24686104910714285,0.3774801587301587,0.18216765873015872,0.09108382936507936,0.09108382936507936,0.12764550264550276,0.18216765873015872,0.1178563513171226,0.18954613095238096,0.07168977963525835,0.0729034409634518,0.8970777667365939,336.0,-0.4980778769841269,nan,nan,nan,0.18216765873015872,nan,nan,nan,0.0,nan,32256
0,1-2,7,0.4221524867707221,0.5940049314724806,0.23017144972278225,8.462772429935516,0.47107672312903026,0.14366319444444445,0.2688414558531746,0.3981391059027778,0.21906001984126985,0.10953000992063493,0.10953000992063493,0.16699735449735442,0.21906001984126985,0.1274326663289429,0.22284226190476192,0.09540959557581902,0.1050089202019897,0.9603578440861702,336.0,-0.4216889880952381,nan,nan,nan,0.21906001984126985,nan,nan,nan,0.0,nan,32256
0,1-2,-1,0.4554172857570732,0.6194871115199063,0.29320526123046875,7.831708151196676,0.5105182405502078,0.15580047123015872,0.31128317212301587,0.4440171983506944,0.25492931547619047,0.12746465773809523,0.12746465773809523,0.2052579365079365,0.2549293154761905,0.1705877580420466,0.25526646205357145,0.08467870401152486,0.10168834406765312,0.996018519870887,336.0,-0.41320219494047616,nan,nan,nan,0.25492931547619047,nan,nan,nan,0.0,nan,258048
0,1-3,0,0.5923112984478389,0.7208394131217505,0.5250992313508065,5.399096292162699,0.6625564817398313,0.29138764880952384,0.4852973090277778,0.6088634672619048,0.5679563492063492,0.18931878306878308,0.18931878306878308,0.5232621784345923,0.5679563492063492,0.4294599322441743,0.5700644841269841,0.1406045518828098,0.24274617119694963,0.9850066381749009,336.0,-0.0411913029100529,nan,nan,nan,0.5679563492063492,nan,nan,nan,0.0,nan,32256
